description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Use at least the Enterprise SKU,azure-resources/AAD/domainServices/recommendations.yaml,bb6deb9d-24fa-4ee8-bc23-ac3ebc7fdf8e,True,"[{'name': 'Create and use replica sets for resiliency or geolocation in Microsoft Entra Domain Services', 'url': 'https://learn.microsoft.com/entra/identity/domain-services/tutorial-create-replica-set'}]","You need to use a minimum of Enterprise SKU for your managed domain to support replica sets.
",False,The Enterprise SKU enables creation of replica sets.,HighAvailability,High,Active,Microsoft.AAD/domainServices,,[]
Use replica sets for resiliency or geolocation in Microsoft Entra Domain Services,azure-resources/AAD/domainServices/recommendations.yaml,a3058909-fcf8-4450-88b5-499f57449178,True,"[{'name': 'Create and use replica sets for resiliency or geolocation in Microsoft Entra Domain Services', 'url': 'https://learn.microsoft.com/entra/identity/domain-services/tutorial-create-replica-set'}]","To improve the resiliency of a Microsoft Entra Domain Services managed domain, or deploy to additional geographic locations close to your applications, you can use replica sets.
You can add a replica set to any peered virtual network in any Azure region that supports Domain Services.
",False,The replica sets provide geographical resiliency.,HighAvailability,High,Active,Microsoft.AAD/domainServices,,[]
Configure Azure Service Health notifications and alerts for Azure VMware Solution,azure-resources/AVS/privateClouds/recommendations.yaml,74fcb9f2-9a25-49a6-8c42-d32851c4afb7,True,"[{'name': 'Configure Azure Service Health alerts', 'url': 'https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/azure-vmware/eslz-management-and-monitoring#design-recommendations'}]","Ensure Azure Service Health notifications are set for Azure VMware Solution across all used regions and subscriptions. This communicates service/security issues and maintenance activities like host replacements and upgrades, reducing service request submissions.
",True,Prompt mitigation of issues.,MonitoringAndAlerting,High,Disabled,Microsoft.AVS/privateClouds,,[]
Monitor when Azure VMware Solution Private Cloud is reaching the capacity limit,azure-resources/AVS/privateClouds/recommendations.yaml,29d7a115-dfb6-4df1-9205-04824109548f,False,"[{'name': 'Configure and streamline alerts', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts'}]","Set an alert for when the node count in Azure VMware Solution Private Cloud hits or exceeds 90 hosts, enabling timely planning for a new private cloud.
",True,Proactive capacity planning,MonitoringAndAlerting,Medium,Active,Microsoft.AVS/privateClouds,,[]
Monitor when Azure VMware Solution Cluster Size is approaching the host limit,azure-resources/AVS/privateClouds/recommendations.yaml,f86355e3-de7c-4dad-8080-1b0b411e66c8,False,"[{'name': 'Configure and streamline alerts', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts'}]","Alert when the cluster size reaches 14 hosts. Set up periodic alerts for planning new clusters or datastores due to growth, especially from storage needs. Beyond 14 hosts, trigger alerts for each new host addition for proactive resource monitoring.
",True,Proactive resource management,MonitoringAndAlerting,Medium,Active,Microsoft.AVS/privateClouds,,[]
Enable Stretched Clusters for Multi-AZ Availability of the vSAN Datastore,azure-resources/AVS/privateClouds/recommendations.yaml,9ec5b4c8-3dd8-473a-86ee-3273290331b9,True,"[{'name': 'Stretched Clusters', 'url': 'https://learn.microsoft.com/azure/azure-vmware/deploy-vsan-stretched-clusters'}]","For Azure VMware Solution, enabling Stretched Clusters offers 99.99% SLA, synchronous storage replication (RPO=0), and spreads vSAN datastore across two AZs. Must be done at initial setup, needing double quota due to extension across AZs.
",True,"99.99% SLA, 0 RPO, Multi-AZ",HighAvailability,Low,Active,Microsoft.AVS/privateClouds,,[]
Configure Azure Monitor Alert warning thresholds for vSAN datastore utilization,azure-resources/AVS/privateClouds/recommendations.yaml,4232eb32-3241-4049-9e14-9b8005817b56,True,"[{'name': 'Supported metrics and activities', 'url': 'https://learn.microsoft.com/azure/azure-vmware/configure-alerts-for-azure-vmware-solution#supported-metrics-and-activities'}]","Ensure VMware vSAN datastore slack space is maintained for SLA by monitoring storage utilization and setting alerts at 70% and 75% utilization to allow for capacity planning. To expand, add hosts or external storage like Azure Elastic SAN, Azure NetApp Files, if CPU and RAM requirements are met.
",True,Optimized capacity planning for vSAN,MonitoringAndAlerting,High,Active,Microsoft.AVS/privateClouds,,[]
Configure Syslog in Diagnostic Settings for Azure VMware Solution,azure-resources/AVS/privateClouds/recommendations.yaml,fa4ab927-bced-429a-971a-53350de7f14b,False,"[{'name': 'Manage logs and archives', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#manage-logs-and-archives'}]","Ensure Diagnostic Settings are configured for each private cloud to send syslogs to external sources for analysis and/or archiving. Azure VMware Solution Syslogs contain data for troubleshooting and performance, aiding quicker issue resolution and early detection of issues.
",True,"Faster issue resolution, early detection",MonitoringAndAlerting,High,Active,Microsoft.AVS/privateClouds,,[]
Monitor CPU Utilization to ensure sufficient resources for workloads,azure-resources/AVS/privateClouds/recommendations.yaml,4ee5d535-c47b-470a-9557-4a3dd297d62f,True,"[{'name': 'Configure and streamline alerts', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts'}]","Ensure sufficient compute resources to avoid host resource exhaustion in Azure VMware Solution, which utilizes vSphere DRS and HA for dynamic workload resource management. However, sustained CPU utilization over 95% may increase CPU Ready times, impacting workloads.
",True,"Avoids resource exhaustion, optimizes performance",MonitoringAndAlerting,High,Active,Microsoft.AVS/privateClouds,,[]
Monitor Memory Utilization to ensure sufficient resources for workloads,azure-resources/AVS/privateClouds/recommendations.yaml,029208c8-5186-4a76-8ee8-6e3445fef4dd,True,"[{'name': 'Configure and streamline alerts', 'url': 'https://learn.microsoft.com/azure/well-architected/azure-vmware/monitoring#configure-and-streamline-alerts'}]","Ensure sufficient memory resources to prevent host resource exhaustion in Azure VMware Solution. It uses vSphere DRS and vSphere HA for dynamic workload management. Yet, continuous memory use over 95% leads to disk swapping, affecting workloads.
",True,Avoids host exhaustion and swapping,MonitoringAndAlerting,High,Active,Microsoft.AVS/privateClouds,,[]
